country_name,date,action_form
austria,2002-07-29,"petitions, symbolic actions"
austria,2002-09-04,other protest
austria,2002-09-07,demonstrations
austria,2002-09-13,demonstrations
austria,2002-09-15,demonstrations
austria,2002-09-16,violent protest
austria,2002-09-19,demonstrations
austria,2002-09-22,other protest
austria,2002-10-01,"confrontations, blockades"
austria,2002-10-05,demonstrations
austria,2002-10-14,other protest
austria,2002-10-23,"confrontations, blockades"
austria,2002-10-23,demonstrations
austria,2002-10-23,demonstrations
austria,2002-10-23,demonstrations
austria,2002-10-25,"confrontations, blockades"
austria,2002-11-08,demonstrations
austria,2002-11-08,"confrontations, blockades"
austria,2002-11-08,"petitions, symbolic actions"
austria,2002-11-15,demonstrations
austria,2002-11-30,"confrontations, blockades"
austria,2002-12-11,"confrontations, blockades"
austria,2002-12-14,demonstrations
austria,2003-01-02,other protest
austria,2003-01-17,demonstrations
austria,2003-01-18,demonstrations
austria,2003-02-02,other protest
austria,2003-02-07,other protest
austria,2003-02-13,demonstrations
austria,2003-02-15,demonstrations
austria,2003-03-03,violent protest
austria,2003-03-04,"petitions, symbolic actions"
austria,2003-03-05,demonstrations
austria,2003-03-17,strikes
austria,2003-03-19,demonstrations
austria,2003-03-24,violent protest
austria,2003-03-24,violent protest
austria,2003-03-24,demonstrations
austria,2003-04-04,other protest
austria,2003-04-08,"petitions, symbolic actions"
austria,2003-04-28,"confrontations, blockades"
austria,2003-05-01,demonstrations
austria,2003-05-01,strikes
austria,2003-05-05,strikes
austria,2003-05-05,other protest
austria,2003-05-05,strikes
austria,2003-05-05,strikes
austria,2003-05-13,demonstrations
austria,2003-05-13,strikes
austria,2003-06-02,strikes
austria,2003-06-03,strikes
austria,2003-06-03,strikes
austria,2003-06-04,strikes
austria,2003-06-10,"petitions, symbolic actions"
austria,2003-06-18,"petitions, symbolic actions"
austria,2003-06-28,demonstrations
austria,2003-06-28,"confrontations, blockades"
austria,2003-07-08,"confrontations, blockades"
austria,2003-07-10,demonstrations
austria,2003-08-14,strikes
austria,2003-08-21,"petitions, symbolic actions"
austria,2003-08-22,strikes
austria,2003-09-04,other protest
austria,2003-09-24,"confrontations, blockades"
austria,2003-09-27,demonstrations
austria,2003-09-27,demonstrations
austria,2003-10-06,strikes
austria,2003-10-06,violent protest
austria,2003-10-08,"confrontations, blockades"
austria,2003-10-08,demonstrations
austria,2003-10-11,strikes
austria,2003-10-15,strikes
austria,2003-10-15,strikes
austria,2003-10-23,demonstrations
austria,2003-11-04,strikes
austria,2003-11-11,strikes
austria,2003-11-12,strikes
austria,2003-11-12,strikes
austria,2003-11-13,strikes
austria,2003-11-13,strikes
austria,2003-11-17,strikes
austria,2003-12-01,strikes
austria,2003-12-11,"confrontations, blockades"
austria,2004-01-08,"confrontations, blockades"
austria,2004-01-13,"confrontations, blockades"
austria,2004-01-15,"petitions, symbolic actions"
austria,2004-01-16,"confrontations, blockades"
austria,2004-02-02,violent protest
austria,2004-02-06,other protest
austria,2004-02-08,"confrontations, blockades"
austria,2004-03-30,"petitions, symbolic actions"
austria,2004-03-30,"petitions, symbolic actions"
austria,2004-04-05,"confrontations, blockades"
austria,2004-04-05,"confrontations, blockades"
austria,2004-04-06,"confrontations, blockades"
austria,2004-04-06,"confrontations, blockades"
austria,2004-04-07,"confrontations, blockades"
austria,2004-04-29,"petitions, symbolic actions"
austria,2004-05-01,demonstrations
austria,2004-05-22,other protest
austria,2004-06-29,strikes
austria,2004-06-30,strikes
austria,2004-07-21,"petitions, symbolic actions"
austria,2004-08-13,strikes
austria,2004-08-15,demonstrations
austria,2004-09-13,other protest
austria,2004-09-13,demonstrations
austria,2004-09-28,"petitions, symbolic actions"
austria,2004-10-12,"confrontations, blockades"
austria,2004-10-16,"confrontations, blockades"
austria,2004-10-18,other protest
austria,2004-11-03,demonstrations
austria,2004-11-03,strikes
austria,2004-11-29,other protest
austria,2004-12-09,demonstrations
austria,2004-12-13,demonstrations
austria,2004-12-20,demonstrations
austria,2005-01-01,"confrontations, blockades"
austria,2005-01-01,"petitions, symbolic actions"
austria,2005-01-01,demonstrations
austria,2005-01-13,"petitions, symbolic actions"
austria,2005-01-19,"petitions, symbolic actions"
austria,2005-01-19,demonstrations
austria,2005-04-14,violent protest
austria,2005-04-20,demonstrations
austria,2005-04-26,"petitions, symbolic actions"
austria,2005-05-01,demonstrations
austria,2005-05-27,"confrontations, blockades"
austria,2005-07-01,demonstrations
austria,2005-08-04,other protest
austria,2005-08-28,violent protest
austria,2005-08-30,violent protest
austria,2005-09-26,demonstrations
austria,2005-09-26,"petitions, symbolic actions"
austria,2005-09-28,other protest
austria,2005-09-28,other protest
austria,2005-10-06,demonstrations
austria,2005-11-01,violent protest
austria,2005-11-02,strikes
austria,2005-11-08,"petitions, symbolic actions"
austria,2005-11-12,demonstrations
austria,2005-12-06,"confrontations, blockades"
austria,2005-12-06,demonstrations
austria,2005-12-13,demonstrations
austria,2005-12-29,"petitions, symbolic actions"
austria,2006-01-01,"confrontations, blockades"
austria,2006-01-01,demonstrations
austria,2006-01-02,"confrontations, blockades"
austria,2006-01-13,"confrontations, blockades"
austria,2006-01-13,"petitions, symbolic actions"
austria,2006-01-19,demonstrations
austria,2006-01-19,demonstrations
austria,2006-01-20,demonstrations
austria,2006-01-21,demonstrations
austria,2006-01-27,demonstrations
austria,2006-01-31,demonstrations
austria,2006-02-04,strikes
austria,2006-02-04,strikes
austria,2006-02-05,demonstrations
austria,2006-02-08,demonstrations
austria,2006-02-10,demonstrations
austria,2006-02-11,demonstrations
austria,2006-02-18,demonstrations
austria,2006-02-18,demonstrations
austria,2006-03-01,"petitions, symbolic actions"
austria,2006-03-02,demonstrations
austria,2006-03-02,demonstrations
austria,2006-03-02,demonstrations
austria,2006-03-06,"petitions, symbolic actions"
austria,2006-04-01,violent protest
austria,2006-04-01,"petitions, symbolic actions"
austria,2006-04-05,demonstrations
austria,2006-04-08,other protest
austria,2006-04-09,violent protest
austria,2006-04-13,"petitions, symbolic actions"
austria,2006-04-13,demonstrations
austria,2006-05-02,"confrontations, blockades"
austria,2006-05-25,demonstrations
austria,2006-05-26,demonstrations
austria,2006-05-26,"confrontations, blockades"
austria,2006-06-19,demonstrations
austria,2006-06-20,demonstrations
austria,2006-06-21,other protest
austria,2006-06-21,other protest
austria,2006-06-21,demonstrations
austria,2006-06-21,demonstrations
austria,2006-06-21,violent protest
austria,2006-06-21,demonstrations
austria,2006-06-21,demonstrations
austria,2006-06-21,"petitions, symbolic actions"
austria,2006-07-24,"petitions, symbolic actions"
austria,2006-07-28,demonstrations
austria,2006-08-10,other protest
austria,2006-08-12,demonstrations
austria,2006-09-11,violent protest
austria,2006-09-25,"confrontations, blockades"
austria,2006-10-08,"confrontations, blockades"
austria,2006-11-01,"confrontations, blockades"
austria,2006-11-13,demonstrations
austria,2006-11-25,strikes
austria,2006-11-30,"petitions, symbolic actions"
austria,2006-12-03,"confrontations, blockades"
austria,2006-12-03,"confrontations, blockades"
austria,2006-12-03,"confrontations, blockades"
austria,2006-12-03,demonstrations
austria,2007-01-01,demonstrations
austria,2007-01-01,violent protest
